Longitude,Latitude,Value
82.905031,54.990688,96890
82.915263,55.044654,87901
82.918445,55.023837,119556
82.94184,55.057695,62796
83.337045,54.990435,28978
82.818973,54.977875,47739
82.928139,55.026982,114897
83.372685,54.214145,29000
83.11237,54.839917,124242
82.960278,55.072224,76359
82.885798,54.938325,67848
82.891228,55.033108,82175
83.126143,54.936265,49167
82.948505,55.032945,42870
82.961531,55.077425,73354
82.859751,54.991225,61733
82.904061,54.990703,80076
82.905225,55.047006,104097
82.843663,54.961868,40000
82.922405,55.067013,67969
82.982281,55.073219,49844
83.303636,54.64008,38782
82.992397,54.919401,59375
82.952527,55.007183,87097
82.831678,54.991224,61379
82.849071,54.98386,80263
82.958455,54.944462,36577
82.974081,55.038361,94050
83.01335,55.021142,54294
83.064838,55.062894,38127
82.904052,54.981564,72128
83.106312,54.764997,51091
83.041772,54.850713,48512
82.865239,54.993008,51437
82.91362,54.93155,63736
82.916939,55.035322,128424
82.902047,54.973843,74990
82.937688,55.06701,80207
82.894772,55.042487,87141
82.500053,54.900707,33645
82.887118,54.985454,91667
82.810225,54.991852,53685
82.964385,55.075799,66726
83.070139,54.772619,46636
82.972288,55.110099,57866
82.895515,54.938474,61349
82.970692,54.945677,45882
82.910372,55.122503,35800
82.957449,54.969396,22778
83.079996,54.923256,58333
83.086178,54.973805,47786
82.9614,55.067746,69904
84.40115,55.238442,44050
82.988636,54.861816,37769
82.968696,55.099085,68182
82.920997,55.059591,87929
82.905409,54.966186,62668
82.949816,55.041096,91482
83.099968,54.869499,75909
82.961905,54.95612,44150
82.92322,54.932981,57323
82.988527,54.927837,70490
82.90425,55.054738,91991
82.962037,55.178399,32941
82.986179,55.006658,40300
82.946837,55.031472,44921
82.90108,55.032117,92308
83.056368,54.744775,48833
82.902974,54.990795,72339
83.055429,54.980589,76384
83.011313,55.038524,57940
82.965879,54.944768,49456
83.096587,54.772966,52703
83.177445,54.942545,58305
83.026304,55.032182,67004
82.908886,54.998211,86159
82.939861,55.041707,94865
83.101903,54.888247,54843
83.05754,54.734175,54435
82.987323,54.921304,54167
82.922159,55.033314,96491
82.96137,55.174349,45614
82.972375,55.053591,71419
82.721493,55.02972,57407
82.963849,55.096138,49068
83.024656,55.002491,65362
83.095674,54.864051,75942
82.978903,55.056102,53089
82.897754,54.993651,66175
82.893282,54.978906,64864
83.012978,55.031091,45763
83.08268,54.76661,49928
82.311787,55.196374,17742
83.330643,54.190186,18296
82.99042,55.049513,36913
82.937854,55.015489,95245
82.974292,55.075756,86111
82.953829,55.076711,48333
83.028006,55.025879,66702
82.948586,55.073356,62961
82.834475,54.982841,58741
82.898272,55.146667,65247
82.945338,55.073909,51582
83.072744,54.919005,28019
82.115346,54.822017,19634
82.965263,55.137915,52727
82.963667,54.954127,54095
